ID,Name,Type,Sub-Type,Syze,Hit dice,Dice Type,Life Bonus,Initiative,Speed,Armor Class,Base Attack,Grapple,Attack,Full Attack,Space|Reach,Special Attacks,Special Qualities,Fortitude,Reflexes,Will,Str,Dex,Con,Int,Wis,Cha,Skills,Feats,Enviroments,Challenge Rating,Treasure,Alignment,LvL Adjustment,Organization,Advancement
1,Manticore,Magical Beast,-,Large,6,d10,27,2,6|10|0|0|0,17|1|10,6,15,Claw +10 melee (2d4+5) or 6 spikes +8 ranged (1d8+2/19-20),2 claws +10 melee (2d4+5) and bite +8 melee (1d8+2) or 6 spikes +8 ranged (1d8+2/19-20),2|1,Spikes,Darkvision 60 ft.| low-light vision| scent,9,7,3,20,15,19,7,12,9,Listen +5| Spot +9| Survival +1,Flyby Attack| Multiattack| Track| Weapon Focus(spikes),Marshes Warm,5,Standard,Lawful Evil,3,,
2,Aboleth,Aberration,,Huge,8,d8,40,1,2|0|12|0|0,16|9|15,6,22,Tentacle +12 melee (1d6+8 plus slime),4 tentacles +12 melee (1d6+8 plus slime),3|2, Enslave|Psionics|Slime ,Aquatic subtype| darkvision 60 ft| mucus cloud ,7,3,11,26,12,20,15,17,17,Concentration +16| Knowledge (any one) +13| Listen +16| Spot +16| Swim +8 ,Alertness| Combat Casting| Iron Will,Underground,7,Double standard ,Lawful Evil,0,,
3,Abyssal Greater Basilisk,Outsider,Augmented Magical Beast| Extraplanar,Large,18,d10,90,-1,4|0|0|0|0,17|8|17,18,29,Bite +25 melee (2d8+10),Bite +25 melee (2d8+10),2|1,Petrifying Gaze| Smite Good,Resistance to cold 10 and fire 10| damage reduction 10/magic| darkvision 60 ft.| low-light vision| spell resistance 23,18,12,8,24,8,21,3,10,15,Hide +0| Listen +10| Spot +10,Alertness| Blind Fight| Great Fortitude| Iron Will| Improved Natural Attack (bite)| Lightning Reflexes| Weapon Focus (bite),Chaotic Evil-Aligned Plane,12,Standard,Chaotic Evil,-,Solitary or colony (3–6),-
4,Athach,Aberration,,Huge,14,d8,70,1,10|0|0|0|0,20|9|19,10,26,Morningstar +16 melee (3d6+8) or rock +9 ranged (2d6+8),Morningstar +12/+7 melee (3d6+8) and 2 morningstars +12 melee (3d6+4) and bite +12 melee (2d8+4 plus poison) or rock +5 ranged (2d6+8) and 2 rocks +5 ranged (2d6+4),3|3,Poison,Darkvision 60 ft,9,5,10,26,13,21,7,12,6,Climb +9| Jump +18| Listen +7| Spot +7 ,Alertness| Cleave| Multiweapon Fighting| Power Attack| Weapon Focus (bite) ,Hills Temperate,8,1/2 coins| double goods| standard items ,Chaotic Evil,5,,
5,Androsphinx,Magical Beast,,Large,12,d10,48,0,10|16|0|0|0,22|9|22,12,23,Claw +18 melee (2d4+7),2 claws +18 melee (2d4+7),2|1,Pounce| rake 2d4+3| roar| spells,Darkvision 60 ft.| low-light vision,12,8,7,25,10,19,16,17,17,Intimidate +17| Knowledge (any one) +18| Listen +18| Spot +18| Survival +18,Alertness| Cleave| Great Cleave| Flyby Attack| Power Attack| Track,Desert Warn,9,Standard,Chaotic Good,5,,
6,Annis,Monstrous Humanoid,,Large,7,d8,14,1,8|0|0|0|0,20|10|19,7,18,Claw +13 melee (1d6+7),2 claws +13 melee (1d6+7) and bite +8 melee (1d6+3),2|2,Improved grab| rake 1d6+7| rend 2d6+10| spell-like abilities,Damage reduction 2/bludgeoning| darkvision 60 ft.| spell resistance 19,6,6,6,25,12,14,13,13,10,Bluff +8| Diplomacy +2| Disguise +0 (+2 acting)| Hide +5| Intimidate +2| Listen +10| Spot +10,Alertness| Blind Fight| Great Fortitude,Marshes Cold,6,Standard,Chaotic Evil,0,,
7,Air Elemental(Large),Elemental,,Large,8,d8,24,11,0|20|0|0|0,20|16|13,6,12,Slam +12 melee (2d6+2),Slam +12 melee (2d6+2),2|2,Air mastery| whirlwind,        Damage reduction 5/–| darkvision 60 ft| elemental traits,5,13,2,14,25,16,6,11,11,Listen +5| Spot +6,Combat Reflexes| Dodge| Flyby Attack| Improved Initiative| Weapon Finesse,Elemental Plane of Air,5,None,Neutral Neutral,-,,
8,Air Elemental(Medium),Elemental,,Medium,4,d8,8,9,0|20|0|0|0,18|15|13,3,4,Slam +8 melee (1d6+1),Slam +8 melee (1d6+1),1|1,Air mastery| whirlwind,Darkvision 60 ft| elemental traits,3,9,1,12,21,14,4,11,11,Listen +3| Spot +4,Dodge| Flyby Attack| Improved Initiative| Weapon Finesse,Elemental Plane of Air,3,None,Neutral Neutral,-,,
9,Air Elemental(Small),Elemental,,Small,2,d8,0,7,0|20|0|0|0,17|14|14,1,-3,Slam +5 melee (1d4),Slam +5 melee (1d4),1|1,Air mastery| whirlwind,Darkvision 60 ft| elemental traits,0,6,0,10,17,10,4,11,11,Listen +2| Spot +3,Flyby Attack| Improved Initiative| Weapon Finesse,Elemental Plane of Air,1,None,Neutral Neutral,-,,
10,Achaierai,Outsider,Evil| Extraplanar| Lawful,Large,6,d8,12,1,10|0|0|0|0,20|10|19,6,14,Claw +9 melee (2d6+4),2 claws +9 melee (2d6+4) and bite +4 melee (4d6+2),2|2,Black Cloud,Darkvision 60 ft.| spell resistance 19,7,6,7,19,13,14,11,14,16,Balance +10| Climb +13| Diplomacy +5| Hide +6| Jump +21| Listen +11| Move Silently +10| Sense Motive +11| Spot +11,Dodge| Mobility| Spring Attack,Lawful-Aligned Plane,5,Double standard ,Lawful Evil,-,Solitary or flock (5–8),7–12 HD (Large)| 13–18 HD (Huge)
